Sample	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	D.treeLikelihood
11000	-33413.25499748689	-33169.3239139565	-243.93108353039037	749.5234475043598	0.4394621883811715	71.38747510464628	33.55545031867154	47.251664499102276	1092.4832390314223	-33169.3239139565
12000	-33416.49934679839	-33171.93683867205	-244.56250812633164	749.5234475043598	0.4394621883811715	71.38747510464628	33.55545031867154	47.66512346023443	1098.5593072273516	-33171.93683867205
13000	-33417.818805874	-33172.08516416666	-245.73364170733677	749.5234475043598	0.4394621883811715	63.535909216827626	33.55545031867154	49.077265676868016	1110.0602623004254	-33172.08516416666
14000	-33413.71496915112	-33164.62223096221	-249.09273818890983	749.5234475043598	0.4394621883811715	63.535909216827626	33.55545031867154	49.675929879010425	1109.3827452092264	-33164.62223096221
15000	-33419.322969576744	-33170.869737575704	-248.45323200103775	996.6281298214159	0.4394621883811715	63.535909216827626	33.55545031867154	48.18411364817663	1092.9525166311128	-33170.869737575704
16000	-33412.92183921104	-33165.3610247481	-247.5608144629459	667.9159881707251	0.4394621883811715	55.08364223088409	33.55545031867154	47.82511602356887	1100.2859296178435	-33165.3610247481
17000	-33416.59909921972	-33170.142267211035	-246.45683200868316	680.5709535319679	0.4394621883811715	75.791525575308	33.55545031867154	48.44011854077577	1104.9395393048803	-33170.142267211035
18000	-33413.70335182087	-33167.94645418382	-245.7568976370507	647.9101244323011	0.4537540197675159	65.02548450238167	33.55545031867154	47.83988591399435	1089.143461596684	-33167.94645418382
19000	-33420.61755940568	-33174.28991714328	-246.32764226239723	656.2835047595352	0.4347262497382727	56.6354066973931	33.55545031867154	47.710545476933085	1089.3382934323793	-33174.28991714328
20000	-33426.92819718028	-33180.25083457242	-246.67736260786063	1057.3066615398202	0.5320747266799546	62.72687428593688	33.55545031867154	47.15332248678371	1091.2260625868525	-33180.25083457242
21000	-33417.24205104974	-33170.12404749776	-247.1180035519783	648.0355199573403	0.45960097146816237	73.84269966860684	34.315061868308405	47.04659324673962	1087.7867078608751	-33170.12404749776
22000	-33408.438687837945	-33162.159216979206	-246.27947085874234	600.1129275351306	0.4057646106716291	65.39089913335738	32.93061899769188	47.06126449892632	1067.0192095945633	-33162.159216979206
23000	-33411.03950034135	-33164.402324219576	-246.63717612177737	787.0113515180616	0.4057646106716291	64.18493943062126	32.93061899769188	48.34339804299323	1111.637478233313	-33164.402324219576
24000	-33409.986682179384	-33164.607737415754	-245.37894476362652	818.3989259720382	0.43248081115441644	64.18493943062126	32.93061899769188	47.308005870801	1081.7924934538714	-33164.607737415754
25000	-33414.165885284805	-33166.54061195215	-247.6252733326535	779.4508096928287	0.3643035544407753	76.41976111176973	32.93061899769188	48.55353490722605	1111.280754516701	-33166.54061195215
26000	-33414.64532365733	-33168.20352228696	-246.4418013703683	901.8159086825901	0.41534259197735524	69.9152621954579	31.896605544442046	48.01421229938539	1089.1055421582273	-33168.20352228696
27000	-33416.23523888686	-33168.080573679224	-248.1546652076382	790.3462685314161	0.3773737578841346	73.34101178891511	31.896605544442046	48.90926280615227	1089.1866519826565	-33168.080573679224
28000	-33412.63843172345	-33164.962741305004	-247.6756904184432	1054.793007300635	0.388786211439	57.881872015504136	31.896605544442046	48.80355269223213	1111.9586258161876	-33164.962741305004
29000	-33411.89328886199	-33160.6313783832	-251.26191047878916	886.2495752614398	0.4992367176278368	53.46598680713569	33.14339211596641	47.89151888756124	1094.2070873717269	-33160.6313783832
30000	-33408.64467412088	-33163.262757170385	-245.38191695049537	601.7669128689838	0.4130795394687301	70.30033347674329	33.14339211596641	48.71285546161418	1100.80733114473	-33163.262757170385
