Sample	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	D.treeLikelihood
37000	-4969.978406010504	-4913.558512725621	-56.41989328488308	67.4837818455464	11.584828802767726	1.3234477080837137	1.550655384312517	53.971614797255924	-4913.558512725621
38000	-4970.287377153077	-4917.551235310732	-52.73614184234454	129.95723812086013	11.461728638063972	1.2819353511323268	1.5246884984279172	53.78706930302782	-4917.551235310732
39000	-4972.665876244999	-4924.851620868734	-47.814255376264796	140.30083278103854	11.320411524520173	1.2511563988843484	1.491025987737299	52.13960622089446	-4924.851620868734
40000	-4969.192391304707	-4923.185222709556	-46.00716859515029	154.85796905119597	11.54810303753855	1.261802732068	1.4939318603983318	52.75106644004892	-4923.185222709556
41000	-4962.79086034789	-4918.320005506908	-44.47085484098206	162.08692486973143	11.932490379867653	1.3280102515744923	1.5541804038769897	55.589820231974606	-4918.320005506908
42000	-4961.3956905328	-4916.305692881886	-45.08999765091354	102.8062299872373	11.893970458248626	1.308769643893621	1.5374273771875728	53.91756948004879	-4916.305692881886
43000	-4962.270712587239	-4915.778546182968	-46.49216640427137	170.76622296483455	11.896011736584978	1.3025045458681623	1.5374273771875728	54.43113976876864	-4915.778546182968
44000	-4957.57021911694	-4909.464828314407	-48.10539080253285	169.6826382482285	11.650156942097887	1.3145739560521827	1.5502810647009364	55.067025163776265	-4909.464828314407
45000	-4958.18646398518	-4909.32876907024	-48.85769491494038	77.73734326290818	11.421588991363704	1.2917060204214512	1.5174327372708436	52.65592631593275	-4909.32876907024
46000	-4957.672186698397	-4908.716283119462	-48.955903578935384	182.00357375004853	11.786603985959125	1.3025125010679128	1.5353701147746373	53.87859637488209	-4908.716283119462
47000	-4950.098317426601	-4908.706144250806	-41.39217317579579	115.17784803871899	11.707104095720137	1.3005108616354923	1.530726450633002	54.23023533947911	-4908.706144250806
48000	-4946.215354510165	-4909.976794750712	-36.238559759453345	105.89428622123076	11.716302965468122	1.3322679060182234	1.5598641161853917	56.006268265550204	-4909.976794750712
49000	-4948.515721624578	-4910.491768543878	-38.02395308070031	79.88729685551164	12.105088504315928	1.3428390579985916	1.5567530724089624	55.88720257699717	-4910.491768543878
50000	-4959.55267125294	-4914.443469633295	-45.109201619645745	97.0942082932853	11.716992443112305	1.302624165670552	1.5167072860789246	54.04583436568387	-4914.443469633295
51000	-4967.035954914596	-4914.8895080197435	-52.146446894852666	126.71306787613337	10.882025061842423	1.265158110194791	1.511971992688482	53.23269106408374	-4914.8895080197435
52000	-4958.382574829484	-4916.092076789144	-42.29049804033958	211.7906075533238	11.003121327317755	1.2715620561547005	1.526330660577094	54.00574831652629	-4916.092076789144
53000	-4960.8607370913305	-4921.227859393411	-39.632877697919554	174.9752993140784	10.960301846060993	1.2735101584785093	1.5241273796677723	54.26241152265304	-4921.227859393411
54000	-4972.053621841954	-4921.6364285286845	-50.41719331326964	92.75858990151872	11.017851044691087	1.281695518303068	1.5298650375617884	53.17635838464827	-4921.6364285286845
55000	-4959.224664910737	-4913.84680193565	-45.37786297508754	162.2643755867076	10.926017612693927	1.2470540441177873	1.4911118394163956	53.12624869158895	-4913.84680193565
56000	-4963.23180351551	-4918.287470092726	-44.944333422784005	111.58568210433296	10.973327492046044	1.2644105354277393	1.5074319018927578	53.78380189452285	-4918.287470092726
57000	-4958.98231238934	-4918.775863875536	-40.20644851380471	116.87305373675622	11.031581181578918	1.29013909697802	1.5334959770868735	54.711643882519624	-4918.775863875536
58000	-4961.058602780147	-4915.6201409251225	-45.438461855025224	98.51018352736224	10.9308334468448	1.3008700306234033	1.5393399358934006	54.843849780229874	-4915.6201409251225
59000	-4963.961915290655	-4919.125890623985	-44.83602466667085	84.11324237651607	10.974235998362774	1.3046397058601578	1.5477014096271045	54.70801657951642	-4919.125890623985
60000	-4966.226834370867	-4914.402117571375	-51.82471679949256	90.62117419841198	11.102958776711064	1.3228385150858155	1.568713687356765	55.03101271572182	-4914.402117571375
61000	-4968.242895939022	-4922.78207391921	-45.46082201981147	147.18405382588062	11.394016499293441	1.3317754952750736	1.5720827378174038	55.759029051116364	-4922.78207391921
62000	-4966.541543572145	-4924.092714632881	-42.44882893926351	174.62925118595672	10.805666095984204	1.298506891350433	1.5474710359732013	54.41543743395156	-4924.092714632881
63000	-4974.840438662276	-4931.211978572975	-43.6284600893017	141.08123067583767	11.030239821888555	1.3110528256956167	1.548873612232733	55.29685781181499	-4931.211978572975
64000	-4961.118979547402	-4926.721964947764	-34.39701459963783	114.84627344326896	11.420278013843962	1.3733324240310618	1.608689578075848	57.67104225030528	-4926.721964947764
65000	-4965.289581939848	-4936.220405589646	-29.069176350201435	155.37648628444828	11.562798552369125	1.3834092096184605	1.6188227808920368	58.15766973132031	-4936.220405589646
66000	-4981.41261995203	-4941.245804038086	-40.166815913943864	181.59971433775888	11.383236931529257	1.3727574605892618	1.6191844526271466	57.93896748043378	-4941.245804038086
67000	-4984.107411968584	-4943.321521640037	-40.785890328546735	70.57358708020128	10.921956523150332	1.330869578579689	1.5644136816135128	55.792828956235645	-4943.321521640037
68000	-4984.858617532193	-4938.16093270979	-46.6976848224029	143.33949098298078	11.54914112988692	1.3733056010572422	1.6188034648374996	56.64544435823147	-4938.16093270979
69000	-4976.525975711013	-4938.789242145349	-37.73673356566461	141.07205236952402	11.395409616242043	1.3275757947897093	1.5706369366427122	56.127432305574985	-4938.789242145349
70000	-4976.466735016621	-4935.734648908269	-40.732086108351815	206.7569050492262	11.657211819073012	1.361036426001506	1.598649292153512	57.065293627508254	-4935.734648908269
71000	-4961.407474566988	-4925.719966807686	-35.68750775930095	138.84198237582717	11.371231600686398	1.3331985279690437	1.5689405623111121	56.624018101778816	-4925.719966807686
72000	-4974.724289796799	-4925.644489221229	-49.079800575570005	110.25677935076052	11.198517973618474	1.3169514354149099	1.5493936581399566	54.89521439131707	-4925.644489221229
73000	-4959.148760275303	-4922.317669540548	-36.83109073475512	134.33102578754279	10.92460374986148	1.308690281927083	1.5500736788016076	55.319166287245416	-4922.317669540548
74000	-4970.651331327536	-4931.681703351984	-38.969627975552406	155.9225794375496	11.382604664986513	1.3330649604061506	1.5652123030173481	56.532675012468594	-4931.681703351984
75000	-4962.643029220666	-4923.5589121611	-39.08411705956556	128.75123915810562	11.584681338244103	1.3059666846721496	1.5312720972151739	54.908442164307644	-4923.5589121611
76000	-4956.770250977575	-4918.9750737178765	-37.79517725969845	160.37499763895886	11.705292187141827	1.3352946510129549	1.562481209187555	55.85477321262993	-4918.9750737178765
