trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-15758.1433130411	-15611.300894303	-146.842418738099	4013.24588974181	0.366865946334416	0.716693904771259	9.36340770622903	307.918652762748	-15611.300894303
stderr.of.mean	0.204566171995042	0.0771653338618604	0.216459320897997	87.3942541174645	0.00469334950608863	0.0103454159611375	0.0048619581981867	0.089332824988711	0.0771653338618604
stdev	5.74407094664394	5.1220650714653	2.86922748351098	1565.57789704416	0.029730593573065	0.0631919809291427	0.231027428280031	5.76811768256612	5.1220650714653
variance	32.9943510400791	26.2355505963249	8.23246635213473	2451034.15171321	0.000883908194206776	0.00399322645374914	0.053373672617685	33.2711815999319	26.2355505963249
median	-15757.8067758182	-15610.9726603534	-146.702656702137	3715.51391417316	0.367058242177014	0.721997413771242	9.35755987241959	307.901859557444	-15610.9726603534
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3747.83358664637	0.365647663549447	0.713792704011691	9.36056213395606	307.864607173567	NaN
HPD95.lower	-15788.6906039069	-15639.4303259599	-161.615660392585	755.271622806502	0.268148915468642	0.483231705344093	8.48319890916035	284.689646663427	-15639.4303259599
HPD95.upper	-15749.331832118	-15603.4434287289	-142.377935194909	6967.06819279226	0.414669034718501	0.809321091981744	9.75388586412578	317.422345464733	-15603.4434287289
ACT	11414.8591078016	2042.66339091059	51223.0138992539	28045.2236123262	224285.471671812	241220.650448545	3986.00521994952	2158.72052393393	2042.66339091059
ESS	788.454760151071	4406.06124339845	175.704225793928	320.913825627133	40.1278778019536	37.3106530608573	2257.92479020235	4169.1825783908	4406.06124339845
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
