Sample	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	D.treeLikelihood
31000	-4793.340868536196	-4712.415074311083	-80.92579422511274	61.92465170758287	9.150573415463834	1.3994972312417167	1.6761467671141934	49.1338106600135	-4712.415074311083
32000	-4801.435554611035	-4711.670541176088	-89.76501343494715	61.092199252931074	9.150573415463834	1.3994972312417167	1.6913830873736015	48.91135175182611	-4711.670541176088
33000	-4802.131063810434	-4716.107094707087	-86.02396910334762	76.07270559261129	8.848306165378624	1.3994972312417167	1.6889289784090529	49.67766885001911	-4716.107094707087
34000	-4806.067190798489	-4719.034961704297	-87.03222909419243	53.022740398432525	8.848306165378624	1.3970014481158781	1.6889289784090529	50.02760003469139	-4719.034961704297
35000	-4802.191935480219	-4711.628426205235	-90.56350927498482	48.37840792885327	8.848306165378624	1.3970014481158781	1.6876591198603699	48.991877571564146	-4711.628426205235
36000	-4802.982277326241	-4712.848311542811	-90.1339657834303	58.643928640123825	8.848306165378624	1.3970014481158781	1.688023191104649	49.93849193083638	-4712.848311542811
37000	-4811.860946382131	-4717.217936428996	-94.64300995313528	47.99369046304132	8.7301285275086	1.3970014481158781	1.688023191104649	47.678111834866286	-4717.217936428996
38000	-4804.446396214685	-4710.371131015564	-94.07526519912105	53.02985121684119	8.7301285275086	1.3970014481158781	1.688023191104649	47.95924709414125	-4710.371131015564
39000	-4798.113762696902	-4710.070397425041	-88.04336527186086	38.728712894869695	8.7301285275086	1.3970014481158781	1.6855824264349346	48.317115220951095	-4710.070397425041
40000	-4807.161686573495	-4714.610850804506	-92.55083576898899	35.68863360214617	8.7301285275086	1.3970014481158781	1.6855824264349346	48.052347305645824	-4714.610850804506
41000	-4800.234488671141	-4705.50933295757	-94.72515571357074	41.41579975918867	8.7301285275086	1.3970014481158781	1.6807587792828806	47.73078517506769	-4705.50933295757
42000	-4803.503902526041	-4709.5522997525495	-93.9516027734917	41.41579975918867	8.7301285275086	1.3970014481158781	1.6842168317304407	48.36951642959147	-4709.5522997525495
