Sample	posterior	likelihood	prior	N0_con	b_log	Ninf_log	t50_log	NInf_gomp	b_gom	t50_gom	b_exp	N0_exp	I	tree.height	tree.treeLength	D.treeLikelihood
0	-71191.5075754329	-70890.99296498172	-300.5146104511757	97.04177257285158	0.024008769766340938	123.34986933812229	19.525081695233304	585.6715717791743	0.004994977742793503	102.76059964117856	0.04515609787046645	464.0066760108164	2	322.04942697316307	2254.0617316326875	-70890.99296498172
1000	-71173.3175563441	-70881.2415223893	-292.07603395479487	43.283434763780384	0.04058813774966896	129.69325395830467	97.38795343509035	585.6715717791743	0.009321010431779244	117.7785027524713	0.012064912899508298	123.44755947128913	2	290.69515260368877	2093.590737197233	-70881.2415223893
2000	-71175.24413265058	-70884.61345630193	-290.63067634865655	57.27936582479636	0.033047668707935934	176.3413330088172	98.7155019951086	117.59983187950155	0.010554401947279593	65.32705780784325	0.0042278158044092165	401.2230292241626	3	311.8375948517353	2170.5835949370785	-70884.61345630193
3000	-71181.98295727801	-70887.26418103867	-294.7187762393511	38.97572503751534	0.04023355785636368	28.899192972466857	307.0045693162004	100.76682441800008	0.042413525456245355	90.58129721969938	0.010418264250727793	401.2230292241626	3	274.0370517669141	2031.1536173781597	-70887.26418103867
4000	-71183.99151323736	-70891.08345694016	-292.9080562971887	46.6046373517516	0.08113467499238959	64.24338910888939	102.4059779662242	101.5334008189964	0.037214971396090035	33.24359817589961	0.002652192012813183	401.2230292241626	3	359.6631000044118	2226.567981484622	-70891.08345694016
5000	-71181.05530917906	-70887.1394770999	-293.9158320791553	71.30349037734784	0.030509111032029662	411.40203920556985	36.92443623964834	218.52960581159903	0.007593605556519463	50.83827200239795	0.005688266929694132	401.2230292241626	3	311.33177447850255	2161.311708680699	-70887.1394770999
6000	-71176.93512171152	-70882.58384070288	-294.35128100863807	53.89291892165203	0.03148161313966447	88.48392173608713	605.2076634426112	74.87934347271563	0.02280276382617863	66.07928242272646	0.008366958128447769	537.6722340651224	3	336.9422327069421	2175.9828719766974	-70882.58384070288
7000	-71174.6205980509	-70883.4430692793	-291.1775287716005	69.40708267336278	0.02837824697610371	58.786298314817856	100.16683016879038	182.88424531425824	0.010188098291041649	43.65893412694616	0.01019861742956565	441.79632237547503	3	307.85444680744024	2107.814227362113	-70883.4430692793
8000	-71172.32134816461	-70880.43194484516	-291.8894033194553	36.10358054206444	0.012326280048266804	166.75600866554606	112.80446655613777	300.59137926989405	0.01540845116078892	66.23653668406028	0.005316712087299483	441.79632237547503	3	238.46413802135837	1954.6421543399997	-70880.43194484516
9000	-71179.53500289647	-70882.14190038104	-297.3931025154257	45.88668728076611	0.015367610503921622	197.31662262977306	103.24186496428328	243.56800776069048	0.022095276292811637	192.64429275255438	0.0034631226325430565	441.79632237547503	3	386.0347307544574	2342.2893187135496	-70882.14190038104
10000	-71172.95018858326	-70883.27645329619	-289.6737352870703	43.785800760299644	0.019291991120361396	39.00603346995286	77.70679907583552	157.37336860371053	0.01094891884517916	28.787822373448797	0.007075929884243293	441.79632237547503	3	338.1744390021048	2223.9648098425073	-70883.27645329619
11000	-71176.76226586838	-70884.66599248261	-292.096273385778	64.21850857449144	0.04939952995400696	121.56057534676148	98.17125905366619	98.63053954097539	0.05237450245932256	29.65972524671614	0.006816446629238131	441.79632237547503	3	355.5779270797725	2174.264316591214	-70884.66599248261
12000	-71182.97819294993	-70887.9417981556	-295.0363947943216	79.00213756304716	0.029582694020635868	220.68757467579812	157.81093498099946	468.80727106237845	0.02694764529382625	72.71116483906582	0.00862727902625389	441.79632237547503	3	262.1132580944091	2019.251664119285	-70887.9417981556
13000	-71170.50259794711	-70879.88222156923	-290.62037637787273	71.67645072743642	0.029895926087277844	140.41854191329548	181.21586045721313	50.37956787328401	0.010765651081778784	45.43743885736248	0.005337680527107473	441.79632237547503	3	303.54004759990573	2167.211751378438	-70879.88222156923
14000	-71188.14653918064	-70887.9202666445	-300.22627253613024	83.50619910205356	0.041353063639543525	69.7032339965991	268.43099474068265	434.0742674833238	0.012125210228811462	209.72277206175198	0.004654931451279328	483.2989450555053	3	494.1351209821798	2580.3930210853678	-70887.9202666445
15000	-71175.69052687904	-70881.98748411021	-293.7030427688248	29.435332343680972	0.0308836499707644	149.90853139706493	245.4738473003513	23.586895369580304	0.01800378703234216	31.84406256482155	0.0038541909954846044	483.2989450555053	3	393.934695220146	2317.8481396388433	-70881.98748411021
16000	-71183.19967672417	-70889.17705946788	-294.02261725628506	31.93235515475072	0.02189873643013526	172.56127901968293	191.55928678127995	174.5849322721899	0.055651841136907965	38.74191197982784	0.00499490643210903	439.28778046912225	3	298.1959404540625	2116.448824459923	-70889.17705946788
17000	-71188.28816065827	-70886.74346763207	-301.5446930261928	95.51615884873345	0.026725903376886954	72.49467703832698	70.25989120941789	190.08264589713198	0.05696316416075976	102.85623462600512	0.00499490643210903	718.7717188443959	3	405.172594691559	2415.998299890571	-70886.74346763207
